Famille	Protéine	Relation
Cluster général	ABC transporter superfamily, ABCB family, Mitochondrial peptide exporter (TC 3.A.1.212) subfamily	générale
Cluster général	Peptidase S1 family	générale
Cluster général	AAED1 family	générale
Cluster général	AATF family	générale
Cluster général	Peptidase S9C family	générale
Cluster général	Acyl-CoA dehydrogenase family	générale
Cluster général	MRL family	générale
Cluster général	Protein kinase superfamily, Ser/Thr protein kinase family	générale
Cluster général	WD repeat ATG16 family	générale
Cluster général	Centaurin gamma-like family	générale
Cluster général	ADP-dependent glucokinase family	générale
Cluster général	Mitochondrial carrier (TC 2.A.29) family	générale
Cluster général	Aldolase class II family, Adducin subfamily	générale
Cluster général	Phosphatase 2A regulatory subunit B family	générale
Cluster général	G-protein coupled receptor 1 family, Atypical chemokine receptor subfamily	générale
Cluster général	Protease inhibitor I39 (alpha-2-macroglobulin) family	générale
Cluster général	Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily	générale
Cluster général	Serine esterase family	générale
Cluster général	HIN-200 family	générale
Cluster général	AB hydrolase superfamily	générale
Cluster général	3-beta-HSD family	générale
Cluster général	5'-AMP-activated protein kinase beta subunit family	générale
Cluster général	Sodium channel (TC 1.A.1.10) family, Nav1.1/SCN1A subfamily	générale
Cluster général	Adenylyl cyclase class-4/guanylyl cyclase family	générale
Cluster général	Aconitase/IPM isomerase family	générale
Cluster général	Ligand-gated ion channel (TC 1.A.9) family, 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily, HTR3B sub-subfamily	générale
Cluster général	NOTCH family	générale
Cluster général	AGR family	générale
Cluster général	Alkaline ceramidase family	générale
Cluster général	Ferredoxin--NADP reductase type 1 family	générale
Cluster général	AKAP110 family	générale
Cluster général	Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Beta-2/CHRNB2 sub-subfamily	générale
Cluster général	Adrenomedullin family	générale
Cluster général	Sirtuin family, Class I subfamily	générale
Cluster général	AspA/AstE family, Aspartoacylase subfamily	générale
Cluster général	Succinate/malate CoA ligase beta subunit family; Succinate/malate CoA ligase alpha subunit family	générale
Cluster général	7B2 family	générale
Cluster général	Aldehyde dehydrogenase family	générale
Cluster général	Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-5/CHRNA5 sub-subfamily	générale
Cluster général	Phosphatase 2A regulatory subunit B56 family	générale
Cluster général	Acyl-CoA oxidase family	générale
Cluster général	ABC transporter superfamily, ABCF family, EF3 subfamily	générale
Cluster général	Glucosamine/galactosamine-6-phosphate isomerase family, 6-phosphogluconolactonase subfamily	générale
Cluster général	Phosphatase 2A regulatory subunit A family	générale
Cluster général	Glycosyltransferase 6 family	générale
Cluster général	ABC transporter superfamily, ABCG family, Eye pigment precursor importer (TC 3.A.1.204) subfamily	générale
Cluster général	Argonaute family, Ago subfamily	générale
Cluster général	14-3-3 family	générale
Cluster général	TGF-beta family	générale
Cluster général	Potassium channel family, KQT (TC 1.A.1.15) subfamily, Kv7.1/KCNQ1 sub-subfamily	générale
Cluster général	GOLGA2 family	générale
Cluster général	AKAP95 family	générale
Cluster général	ACBP family	générale
Cluster général	ABC transporter superfamily, ABCB family, Heavy Metal importer (TC 3.A.1.210) subfamily	générale
Cluster général	Peptidase M14 family	générale
Cluster général	FAD-dependent oxidoreductase family	générale
Cluster général	Protein kinase superfamily, TKL Ser/Thr protein kinase family	générale
Cluster général	Fibrillin family	générale
Cluster général	AAMDC family	générale
Cluster général	Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Delta/CHRND sub-subfamily	générale
Cluster général	Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-3/CHRNA3 sub-subfamily	générale
Cluster général	G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA2A sub-subfamily	générale
Cluster général	ACBD7 family	générale
Cluster général	AKNA family	générale
Cluster général	FAD-binding oxidoreductase/transferase type 4 family	générale
Cluster général	6-phosphogluconate dehydrogenase family	générale
Cluster général	ABC transporter superfamily, ABCB family, MHC peptide exporter (TC 3.A.1.209) subfamily	générale
Cluster général	G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily	générale
Cluster général	Peptidase S33 family, ABHD4/ABHD5 subfamily	générale
Cluster général	Adenosine and AMP deaminases family	générale
Cluster général	Actin family	générale
Cluster général	AHA1 family	générale
Cluster général	MHC class II family	générale
Cluster général	Serpin family	générale
Cluster général	Aldo/keto reductase family	générale
Cluster général	ADP-ribosylglycohydrolase family	générale
Cluster général	EIF4E-binding protein family	générale
Cluster général	ABC transporter superfamily, ABCE family	générale
Cluster général	Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Beta-3/CHRNB3 sub-subfamily	générale
Cluster général	Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Gamma/CHRNG sub-subfamily	générale
Cluster général	AAR2 family	générale
Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily	AAPK1_MOUSE	familiale
3-hydroxyisobutyrate dehydrogenase family	3HIDH_HUMAN	familiale
MLLT11 family	AF1Q_MOUSE	familiale
Metallophosphoesterase superfamily, Purple acid phosphatase family	ACP7_MOUSE	familiale
G-protein coupled receptor 1 family, Muscarinic acetylcholine receptor subfamily, CHRM3 sub-subfamily	ACM3_MOUSE	familiale
Multicopper oxidase family	FA8_HUMAN	familiale
Nuclear hormone receptor family, NR3 subfamily	ANDR_HUMAN	familiale
AB hydrolase superfamily, ABHD17 family	AB17A_HUMAN	familiale
AB hydrolase superfamily, ABHD17 family	AB17B_HUMAN	familiale
AB hydrolase superfamily, ABHD17 family	AB17C_MOUSE	familiale
AB hydrolase superfamily, ABHD17 family	AB17B_MOUSE	familiale
ABC transporter superfamily, ABCD family, Peroxisomal fatty acyl CoA transporter (TC 3.A.1.203) subfamily	ABCD2_HUMAN	familiale
ABC transporter superfamily, ABCD family, Peroxisomal fatty acyl CoA transporter (TC 3.A.1.203) subfamily	ABCD1_HUMAN	familiale
ABC transporter superfamily, ABCD family, Peroxisomal fatty acyl CoA transporter (TC 3.A.1.203) subfamily	ABCD4_HUMAN	familiale
