Famille	Protéine	Relation
ATP-dependent AMP-binding enzyme family	ACS2A_HUMAN	familiale
ATP-dependent AMP-binding enzyme family	ACSA_HUMAN	familiale
ATP-dependent AMP-binding enzyme family	ACSL3_HUMAN	familiale
ATP-dependent AMP-binding enzyme family	ACSL4_MOUSE	familiale
ATP-dependent AMP-binding enzyme family	ACSL6_MOUSE	familiale
ATP-dependent AMP-binding enzyme family	ACS2L_MOUSE	familiale
ATP-dependent AMP-binding enzyme family	ACSF2_MOUSE	familiale
ATP-dependent AMP-binding enzyme family	ACSF4_HUMAN	familiale
ATP-dependent AMP-binding enzyme family	ACSL5_MOUSE	familiale
ATP-dependent AMP-binding enzyme family	ACSM5_MOUSE	familiale
Class-II aminoacyl-tRNA synthetase family, Alax-L subfamily	AASD1_MOUSE	familiale
Peptidase M20A family	ACY1_HUMAN	familiale
ADAT1 family	ADAT1_MOUSE	familiale
SLC3A transporter family	4F2_MOUSE	familiale
Costars family	ABRAL_HUMAN	familiale
Costars family	ABRA_HUMAN	familiale
Costars family	ABTB1_HUMAN	familiale
Costars family	ACACB_HUMAN	familiale
Class-I pyridoxal-phosphate-dependent aminotransferase family	AATC_HUMAN	familiale
Class-I pyridoxal-phosphate-dependent aminotransferase family	1A1L2_MOUSE	familiale
Class-I pyridoxal-phosphate-dependent aminotransferase family	AADAT_MOUSE	familiale
Class-I pyridoxal-phosphate-dependent aminotransferase family	AATC2_MOUSE	familiale
Class-I pyridoxal-phosphate-dependent aminotransferase family	1A1L1_MOUSE	familiale
'GDXG' lipolytic enzyme family	AAAD_HUMAN	familiale
'GDXG' lipolytic enzyme family	AAAS_HUMAN	familiale
'GDXG' lipolytic enzyme family	ADCL3_HUMAN	familiale
'GDXG' lipolytic enzyme family	ADCL3_MOUSE	familiale
Wnt family	WNT5A_MOUSE	familiale
5'-nucleotidase family	5NTD_MOUSE	familiale
Zinc-containing alcohol dehydrogenase family, Class-I subfamily	ADH1_MOUSE	familiale
Zinc-containing alcohol dehydrogenase family, Class-I subfamily	ADIPO_MOUSE	familiale
Zinc-containing alcohol dehydrogenase family, Class-I subfamily	ADNP_HUMAN	familiale
ABC transporter superfamily, ABCB family, Mitochondrial peptide exporter (TC 3.A.1.212) subfamily	ABCBA_HUMAN	familiale
Peptidase S1 family	ACRO_MOUSE	familiale
AAED1 family	AAED1_MOUSE	familiale
AATF family	AATF_HUMAN	familiale
AATF family	AATF_MOUSE	familiale
Peptidase S9C family	ACPH_HUMAN	familiale
Peptidase S9C family	ACPM_MOUSE	familiale
Acyl-CoA dehydrogenase family	ACD11_HUMAN	familiale
Acyl-CoA dehydrogenase family	ACADL_HUMAN	familiale
Acyl-CoA dehydrogenase family	ACDSB_HUMAN	familiale
Acyl-CoA dehydrogenase family	ACD_HUMAN	familiale
Acyl-CoA dehydrogenase family	ACAD8_MOUSE	familiale
Acyl-CoA dehydrogenase family	ACADM_HUMAN	familiale
Acyl-CoA dehydrogenase family	ACADV_HUMAN	familiale
Acyl-CoA dehydrogenase family	ACAP2_MOUSE	familiale
Acyl-CoA dehydrogenase family	ACDSB_MOUSE	familiale
MRL family	AB1IP_HUMAN	familiale
Protein kinase superfamily, Ser/Thr protein kinase family	AAK1_HUMAN	familiale
WD repeat ATG16 family	A16L1_HUMAN	familiale
WD repeat ATG16 family	A16L2_HUMAN	familiale
WD repeat ATG16 family	A16L1_MOUSE	familiale
WD repeat ATG16 family	A16L2_MOUSE	familiale
Centaurin gamma-like family	AG14P_HUMAN	familiale
Centaurin gamma-like family	AGAP3_MOUSE	familiale
Centaurin gamma-like family	AGFG2_MOUSE	familiale
Centaurin gamma-like family	AGA11_HUMAN	familiale
Centaurin gamma-like family	AGAP1_HUMAN	familiale
ADP-dependent glucokinase family	ADPGK_MOUSE	familiale
Mitochondrial carrier (TC 2.A.29) family	ADT1_MOUSE	familiale
Mitochondrial carrier (TC 2.A.29) family	ADT2_MOUSE	familiale
Mitochondrial carrier (TC 2.A.29) family	AEDO_MOUSE	familiale
Mitochondrial carrier (TC 2.A.29) family	ADT1_HUMAN	familiale
Mitochondrial carrier (TC 2.A.29) family	AF10_HUMAN	familiale
Mitochondrial carrier (TC 2.A.29) family	AF1L2_MOUSE	familiale
Mitochondrial carrier (TC 2.A.29) family	ADT2_HUMAN	familiale
Mitochondrial carrier (TC 2.A.29) family	ADT4_HUMAN	familiale
Aldolase class II family, Adducin subfamily	ADDA_MOUSE	familiale
Aldolase class II family, Adducin subfamily	ADDG_HUMAN	familiale
Aldolase class II family, Adducin subfamily	ADDB_HUMAN	familiale
Aldolase class II family, Adducin subfamily	ADDA_HUMAN	familiale
Phosphatase 2A regulatory subunit B family	2ABA_HUMAN	familiale
G-protein coupled receptor 1 family, Atypical chemokine receptor subfamily	ACKR1_MOUSE	familiale
G-protein coupled receptor 1 family, Atypical chemokine receptor subfamily	ACKR2_MOUSE	familiale
G-protein coupled receptor 1 family, Atypical chemokine receptor subfamily	ACKR3_HUMAN	familiale
Protease inhibitor I39 (alpha-2-macroglobulin) family	A2MG_HUMAN	familiale
Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily	EGFR_HUMAN	familiale
Serine esterase family	ABHDD_HUMAN	familiale
Serine esterase family	ABHDD_MOUSE	familiale
HIN-200 family	AIM2_HUMAN	familiale
HIN-200 family	AIMP2_MOUSE	familiale
HIN-200 family	AIPL1_MOUSE	familiale
AB hydrolase superfamily	ABD18_HUMAN	familiale
AB hydrolase superfamily	ABHD6_MOUSE	familiale
AB hydrolase superfamily	ABHDA_MOUSE	familiale
AB hydrolase superfamily	ABHD6_HUMAN	familiale
AB hydrolase superfamily	ABHDB_HUMAN	familiale
3-beta-HSD family	3BHS1_HUMAN	familiale
3-beta-HSD family	3BHS4_MOUSE	familiale
3-beta-HSD family	3BP1_MOUSE	familiale
3-beta-HSD family	3BP2_MOUSE	familiale
5'-AMP-activated protein kinase beta subunit family	AAKB1_MOUSE	familiale
5'-AMP-activated protein kinase beta subunit family	AAKB2_MOUSE	familiale
Sodium channel (TC 1.A.1.10) family, Nav1.1/SCN1A subfamily	SCN1A_HUMAN	familiale
Adenylyl cyclase class-4/guanylyl cyclase family	ADCY2_HUMAN	familiale
Adenylyl cyclase class-4/guanylyl cyclase family	ADCY4_MOUSE	familiale
Adenylyl cyclase class-4/guanylyl cyclase family	ADCY5_HUMAN	familiale
Adenylyl cyclase class-4/guanylyl cyclase family	ADCY7_HUMAN	familiale
Adenylyl cyclase class-4/guanylyl cyclase family	ADCY1_HUMAN	familiale
Adenylyl cyclase class-4/guanylyl cyclase family	ADCY3_MOUSE	familiale
Adenylyl cyclase class-4/guanylyl cyclase family	ADCY7_MOUSE	familiale
Adenylyl cyclase class-4/guanylyl cyclase family	ADCY9_MOUSE	familiale
Adenylyl cyclase class-4/guanylyl cyclase family	ADCYA_MOUSE	familiale
Adenylyl cyclase class-4/guanylyl cyclase family	ADCY8_MOUSE	familiale
Adenylyl cyclase class-4/guanylyl cyclase family	ADCY1_MOUSE	familiale
Adenylyl cyclase class-4/guanylyl cyclase family	ADCY3_HUMAN	familiale
Aconitase/IPM isomerase family	ACOC_MOUSE	familiale
Ligand-gated ion channel (TC 1.A.9) family, 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily, HTR3B sub-subfamily	5HT3B_HUMAN	familiale
NOTCH family	NOTC1_MOUSE	familiale
AGR family	AGR3_MOUSE	familiale
Alkaline ceramidase family	ACER2_MOUSE	familiale
Alkaline ceramidase family	ACER1_HUMAN	familiale
Alkaline ceramidase family	ACER1_MOUSE	familiale
Alkaline ceramidase family	ACER3_HUMAN	familiale
Ferredoxin--NADP reductase type 1 family	ADRO_MOUSE	familiale
AKAP110 family	AKA11_HUMAN	familiale
AKAP110 family	AKA12_HUMAN	familiale
AKAP110 family	AKAP9_MOUSE	familiale
Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Beta-2/CHRNB2 sub-subfamily	ACHB2_MOUSE	familiale
Adrenomedullin family	ADML_HUMAN	familiale
Sirtuin family, Class I subfamily	SIR1_HUMAN	familiale
AspA/AstE family, Aspartoacylase subfamily	ACY3_HUMAN	familiale
AspA/AstE family, Aspartoacylase subfamily	ACY3_MOUSE	familiale
AspA/AstE family, Aspartoacylase subfamily	ACY2_MOUSE	familiale
Succinate/malate CoA ligase beta subunit family; Succinate/malate CoA ligase alpha subunit family	ACLY_MOUSE	familiale
7B2 family	7B2_HUMAN	familiale
7B2 family	A14EL_HUMAN	familiale
Aldehyde dehydrogenase family	A16A1_HUMAN	familiale
Aldehyde dehydrogenase family	AL1A1_HUMAN	familiale
Aldehyde dehydrogenase family	AL1A2_MOUSE	familiale
Aldehyde dehydrogenase family	AL2CL_HUMAN	familiale
Aldehyde dehydrogenase family	AL2SB_HUMAN	familiale
Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-5/CHRNA5 sub-subfamily	ACHA5_HUMAN	familiale
Phosphatase 2A regulatory subunit B56 family	2A5A_HUMAN	familiale
Phosphatase 2A regulatory subunit B56 family	2A5E_HUMAN	familiale
Phosphatase 2A regulatory subunit B56 family	2A5G_HUMAN	familiale
Phosphatase 2A regulatory subunit B56 family	2A5B_HUMAN	familiale
Acyl-CoA oxidase family	ACOX1_HUMAN	familiale
Acyl-CoA oxidase family	ACOXL_MOUSE	familiale
Acyl-CoA oxidase family	ACOX2_MOUSE	familiale
Acyl-CoA oxidase family	ACOXL_HUMAN	familiale
Acyl-CoA oxidase family	ACPM_HUMAN	familiale
Acyl-CoA oxidase family	ACRBP_HUMAN	familiale
Acyl-CoA oxidase family	ACOX3_HUMAN	familiale
ABC transporter superfamily, ABCF family, EF3 subfamily	ABCF1_HUMAN	familiale
ABC transporter superfamily, ABCF family, EF3 subfamily	ABCF2_HUMAN	familiale
ABC transporter superfamily, ABCF family, EF3 subfamily	ABCF3_HUMAN	familiale
ABC transporter superfamily, ABCF family, EF3 subfamily	ABCF1_MOUSE	familiale
ABC transporter superfamily, ABCF family, EF3 subfamily	ABCF2_MOUSE	familiale
Glucosamine/galactosamine-6-phosphate isomerase family, 6-phosphogluconolactonase subfamily	6PGL_HUMAN	familiale
Phosphatase 2A regulatory subunit A family	2AAA_MOUSE	familiale
Phosphatase 2A regulatory subunit A family	2AAA_HUMAN	familiale
Phosphatase 2A regulatory subunit A family	2AAB_MOUSE	familiale
Glycosyltransferase 6 family	A3LT2_MOUSE	familiale
ABC transporter superfamily, ABCG family, Eye pigment precursor importer (TC 3.A.1.204) subfamily	ABCG1_MOUSE	familiale
ABC transporter superfamily, ABCG family, Eye pigment precursor importer (TC 3.A.1.204) subfamily	ABCG2_MOUSE	familiale
ABC transporter superfamily, ABCG family, Eye pigment precursor importer (TC 3.A.1.204) subfamily	ABCG5_HUMAN	familiale
ABC transporter superfamily, ABCG family, Eye pigment precursor importer (TC 3.A.1.204) subfamily	ABCG4_HUMAN	familiale
Argonaute family, Ago subfamily	AGO3_MOUSE	familiale
Argonaute family, Ago subfamily	AGO1_MOUSE	familiale
Argonaute family, Ago subfamily	AGO3_HUMAN	familiale
14-3-3 family	1433F_MOUSE	familiale
14-3-3 family	1433G_MOUSE	familiale
14-3-3 family	1433S_MOUSE	familiale
14-3-3 family	1433S_HUMAN	familiale
14-3-3 family	1433B_MOUSE	familiale
14-3-3 family	1433E_MOUSE	familiale
14-3-3 family	1433F_HUMAN	familiale
TGF-beta family	BMP4_MOUSE	familiale
Potassium channel family, KQT (TC 1.A.1.15) subfamily, Kv7.1/KCNQ1 sub-subfamily	KCNQ1_HUMAN	familiale
GOLGA2 family	GOGA2_HUMAN	familiale
AKAP95 family	AKP8L_MOUSE	familiale
ACBP family	ACBP_HUMAN	familiale
ABC transporter superfamily, ABCB family, Heavy Metal importer (TC 3.A.1.210) subfamily	ABCB6_MOUSE	familiale
Peptidase M14 family	AEBP1_MOUSE	familiale
Peptidase M14 family	AEDO_HUMAN	familiale
Peptidase M14 family	AEGP_MOUSE	familiale
Peptidase M14 family	AEN_MOUSE	familiale
FAD-dependent oxidoreductase family	AIFM1_MOUSE	familiale
FAD-dependent oxidoreductase family	AIM1L_HUMAN	familiale
Protein kinase superfamily, TKL Ser/Thr protein kinase family	LRRK2_HUMAN	familiale
Fibrillin family	FBN1_HUMAN	familiale
AAMDC family	AAMDC_MOUSE	familiale
Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Delta/CHRND sub-subfamily	ACHD_HUMAN	familiale
Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-3/CHRNA3 sub-subfamily	ACHA3_MOUSE	familiale
Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-3/CHRNA3 sub-subfamily	ACHA3_HUMAN	familiale
G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA2A sub-subfamily	ADA2A_HUMAN	familiale
G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA2A sub-subfamily	ADA33_HUMAN	familiale
G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA2A sub-subfamily	ADA2A_MOUSE	familiale
G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA2A sub-subfamily	ADAM8_MOUSE	familiale
ACBD7 family	ACBD7_MOUSE	familiale
AKNA family	AKND1_HUMAN	familiale
FAD-binding oxidoreductase/transferase type 4 family	ADAS_MOUSE	familiale
6-phosphogluconate dehydrogenase family	6PGD_HUMAN	familiale
ABC transporter superfamily, ABCB family, MHC peptide exporter (TC 3.A.1.209) subfamily	ABCB9_MOUSE	familiale
G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily	AGRA1_MOUSE	familiale
G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily	AGRG3_MOUSE	familiale
G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily	AGRG4_HUMAN	familiale
G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily	AGRG5_HUMAN	familiale
G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily	AGRIN_MOUSE	familiale
G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily	AGRL1_HUMAN	familiale
G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily	AGRP_HUMAN	familiale
G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily	AGRA2_MOUSE	familiale
G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily	AGRB2_HUMAN	familiale
G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily	AGRB3_MOUSE	familiale
G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily	AGRD1_MOUSE	familiale
G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily	AGRE4_MOUSE	familiale
G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily	AGRG3_HUMAN	familiale
G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily	AGRG5_MOUSE	familiale
G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily	AGRL1_MOUSE	familiale
Peptidase S33 family, ABHD4/ABHD5 subfamily	ABHD4_MOUSE	familiale
Adenosine and AMP deaminases family	ADAL_HUMAN	familiale
Adenosine and AMP deaminases family	ADAM2_HUMAN	familiale
Adenosine and AMP deaminases family	ADAM7_HUMAN	familiale
Adenosine and AMP deaminases family	ADAM8_HUMAN	familiale
Actin family	ACL7B_MOUSE	familiale
Actin family	ACO11_MOUSE	familiale
Actin family	ACTC_MOUSE	familiale
Actin family	ACTL9_MOUSE	familiale
Actin family	ADA11_HUMAN	familiale
Actin family	ADA18_HUMAN	familiale
Actin family	ACL6B_HUMAN	familiale
Actin family	ACTBL_HUMAN	familiale
Actin family	ACTB_HUMAN	familiale
Actin family	ACTT3_HUMAN	familiale
Actin family	ACTA_MOUSE	familiale
Actin family	ACTBM_HUMAN	familiale
Actin family	ACTC_HUMAN	familiale
Actin family	ACTH_HUMAN	familiale
Actin family	ACTT2_HUMAN	familiale
Actin family	ACL10_MOUSE	familiale
Actin family	ACL7A_HUMAN	familiale
Actin family	ACTA_HUMAN	familiale
Actin family	ACTB_MOUSE	familiale
Actin family	ACTG_HUMAN	familiale
Actin family	ACTL8_HUMAN	familiale
Actin family	ACTT2_MOUSE	familiale
AHA1 family	AHSA2_MOUSE	familiale
MHC class II family	2B1B_HUMAN	familiale
MHC class II family	2B1F_HUMAN	familiale
MHC class II family	2B1C_HUMAN	familiale
MHC class II family	2B1E_HUMAN	familiale
Serpin family	A2AP_HUMAN	familiale
Serpin family	A4AS1_HUMAN	familiale
Serpin family	A1ATR_HUMAN	familiale
Serpin family	A1AT2_MOUSE	familiale
Serpin family	A1BG_HUMAN	familiale
Serpin family	A1CF_HUMAN	familiale
Serpin family	A20A1_HUMAN	familiale
Serpin family	A20A4_HUMAN	familiale
Serpin family	A2GL_HUMAN	familiale
Aldo/keto reductase family	AK1BA_HUMAN	familiale
Aldo/keto reductase family	AK1CD_MOUSE	familiale
Aldo/keto reductase family	AK1D1_MOUSE	familiale
Aldo/keto reductase family	AKCL2_MOUSE	familiale
Aldo/keto reductase family	AKIP1_MOUSE	familiale
ADP-ribosylglycohydrolase family	ADPRH_MOUSE	familiale
EIF4E-binding protein family	4EBP3_HUMAN	familiale
EIF4E-binding protein family	4ET_MOUSE	familiale
EIF4E-binding protein family	4EBP1_MOUSE	familiale
EIF4E-binding protein family	4EBP3_MOUSE	familiale
EIF4E-binding protein family	4EBP2_HUMAN	familiale
ABC transporter superfamily, ABCE family	ABCE1_HUMAN	familiale
ABC transporter superfamily, ABCE family	ABCE1_MOUSE	familiale
Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Beta-3/CHRNB3 sub-subfamily	ACHB3_MOUSE	familiale
Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Gamma/CHRNG sub-subfamily	ACHG_HUMAN	familiale
Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Gamma/CHRNG sub-subfamily	ACINU_HUMAN	familiale
AAR2 family	AAR2_HUMAN	familiale
